German,Russian,archways,арочные
German,Russian,hunch,догадкой
English,Russian,erupted,извергался
English,Russian,penetrate,проникнуть
English,Russian,coincide,совпадать
English,Russian,devote,посвятить
English,Russian,slewing,поворотные
English,Russian,commissioned,по заказу
English,Russian,utterly,крайне
English,Russian,dwelt on,остановился на
English,Russian,fury,ярость
English,Russian,strident,скрипучий
English,Russian,vehemence,горячность
English,Russian,forgery,подделка
English,Russian,whack,удар
English,Russian,discern,разглядеть
English,Russian,astounding,поразительный
English,Russian,insanely,безумно
English,Russian,rattling,грохочущий
English,Russian,sniffing,нюхают
English,Russian,spared,пощадил
English,Russian,flew,вылетел
English,Russian,unleashing,развязывание
English,Russian,skyward,ввысь
English,Russian,flouting,попирая
English,Russian,sobriety,трезвость
English,Russian,perpetual,вечный
English,Russian,decipher,расшифровывать
English,Russian,plight,положение
English,Russian,thigh,бедро
English,Russian,holster,кобура
English,Russian,massacred,убиты
English,Russian,dragged,тащили
English,Russian,gutted,потрошеная
English,Russian,scarcely,едва
English,Russian,blizzard,метель
English,Russian,coward,трус
English,Russian,wiped out,уничтожены
English,Russian,immensely,очень
English,Russian,had managed,удалось
English,Russian,refuge,убежище
English,Russian,insane,безумный
English,Russian,shredded,дробленый
English,Russian,torn,порванный
English,Russian,lungs,легкие
English,Russian,asset-recovery,активов восстановления
English,Russian,delineation,определение
English,Russian,unmolested,беспрепятственно
English,Russian,pond,пруд
English,Russian,whorls,обороты
English,Russian,haze,дымка
English,Russian,groans,стоны
English,Russian,proclivity,склонность
English,Russian,overwhelmed,перегружены
English,Russian,curvature,кривизна
English,Russian,hull,корпус
English,Russian,Slope,наклон
English,Russian,over-saturated,перенасыщен
English,Russian,albeit,хотя
English,Russian,congestion,скопление
English,Russian,participants,участники
English,Russian,exhibit,экспонат
English,Russian,adversary,противник
English,Russian,tight,плотно
English,Russian,rigorous,тщательный
English,Russian,bid,заявка
English,Russian,anemic,анемичными
English,Russian,earthquake,землетрясение
English,Russian,nifty,щегольской
English,Russian,arbitrary,произвольный
English,Russian,Skew,косой
English,Russian,surpassed,превзошел
English,Russian,transparency,прозрачность
English,Russian,cushion,подушка
English,Russian,conceive,зачать
English,Russian,sharp,острый
English,Russian,claws,когти
English,Russian,mingles,смешивается
English,Russian,revenue,выручка
English,Russian,book,заказать
English,Russian,Revenue,доход
English,Russian,alleviate,облегчать
English,Russian,bigots,фанатиков
English,Russian,glimpse,проблеск
English,Russian,omniscient,всезнающий
English,Russian,urge,побуждать
English,Russian,ducked out,смылись
English,Russian,clash,столкновение
English,Russian,virtues,добродетели
English,Russian,cripple,калечить
English,Russian,cues,сигналы
English,Russian,Transparency,прозрачность
English,Russian,tougher,жестче
English,Russian,remunerative,доходный
English,Russian,hurricane,ураган
English,Russian,Allure,очарование
English,Russian,brochures,брошюры
English,Russian,cozy,уютный
English,Russian,cope,справляться
English,Russian,itinerary,маршрут
English,Russian,thrives,процветает
English,Russian,haywire,непрочный
English,Russian,employ,использовать
English,Russian,Futzing,возиться
English,Russian,plonk,дешевое вино
English,Russian,lag,отставание
English,Russian,pesky,надоедливый
English,Russian,drastic,решительный
English,Russian,victimized,жертвами
English,Russian,innocuous,безобидный
English,Russian,burden,бремя
English,Russian,victim,жертва
English,Russian,court,суд
English,Russian,rears,тылы
English,Russian,spans,пролеты
English,Russian,humbled,смирение
English,Russian,worthwhile,стоит
English,Russian,Despite,несмотря на
English,Russian,Treat,рассматривать
English,Russian,build up,наращивать
English,Russian,spit out,выложит
English,Russian,foundation,основа
English,Russian,bear,нести
English,Russian,loom,угрожающие
English,Russian,loom,маячат
English,Russian,spate of,волна
English,Russian,feisty,энергичный
Russian,English,напористый,pushy
English,Russian,awkward,неуклюжий
English,Russian,far-reaching,далеко идущий
English,Russian,hesitate,колебаться
English,Russian,cast,литье
English,Russian,inclined,склонный
English,Russian,recognizing,признавая
English,Russian,spot,пятно
English,Russian,retailing,розничная торговля
English,Russian,chasms,пропасти
Russian,English,решения,decision
English,Russian,ramifications,последствия
English,Russian,remedy,средство
English,Russian,disruption,нарушение
English,Russian,flawed,недостатки
English,Russian,despite,несмотря на
English,Russian,merit,заслуга
English,Russian,nursing staff,медперсонал
English,Russian,crucially,принципиально
English,Russian,rear,задний
English,Russian,considerable,значительный
English,Russian,emphasized,подчеркнул
English,Russian,wander off,блуждать
English,Russian,unbearable,невыносимо
English,Russian,blunt,тупой
English,Russian,hut,хижина
English,Russian,flinch,вздрогнуть
English,Russian,jaw,челюсть
English,Russian,rubs,трется
English,Russian,cliff,утес
English,Russian,lake,озеро
English,Russian,shore,берег
English,Russian,gaze,посмотреть
English,Russian,forgo,отказываться
English,Russian,obstacles,препятствия
English,Russian,trail,тропа
English,Russian,wades out,броды из
English,Russian,hike,поход
English,Russian,washes,моет
English,Russian,troops,войска
English,Russian,glare,яркий свет
English,Russian,props,реквизит
English,Russian,butt,приклад
English,Russian,struggle to,бороться с
English,Russian,groaning on the carpet,стонет на ковре
English,Russian,SUV,внедорожник
English,Russian,i aim,я стремлюсь
English,Russian,van,фургон
English,Russian,jerks,дергается
English,Russian,looks up,смотрит вверх
Russian,English,ворчать,grumble
English,Russian,demolished,разрушенный
English,Russian,sharply,резко
English,Russian,inhales,вдыхает
English,Russian,steadily,неуклонно
English,Russian,treat,лечить
English,Russian,debris,мусор
English,Russian,soothing,успокаивающий
English,Russian,wounds,раны
English,Russian,wreckage,крушение
English,Russian,whistle,свисток
English,Russian,cannon,пушка
English,Russian,orb,шар
English,Russian,mesmerized,загипнотизированный
English,Russian,reveal,раскрывать
English,Russian,waxy,восковой
English,Russian,dwell on,останавливаться на
English,Russian,cupboard,шкаф
English,Russian,sort through,по полочкам
English,Russian,bittersweet,горьковато-сладкий
English,Russian,up there,там
English,Russian,shiver,дрожь
English,Russian,pointedly,многозначительно
English,Russian,yelp,визг
English,Russian,torturing,мучить
English,Russian,load of crap,чушь
English,Russian,trucks,грузовики
English,Russian,flanked by,по бокам
English,Russian,jerks,конвульсии
English,Russian,politely,вежливо
English,Russian,yell,кричать
English,Russian,screams,крики
English,Russian,palms,ладони
English,Russian,wrist,запястье
English,Russian,chin,подбородок
English,Russian,squeeze down,выжать вниз
English,Russian,herd of,стадо
English,Russian,stares,смотрит
English,Russian,orphanage,сиротство
English,Russian,dyed,окрашенный
English,Russian,startles,поражает
English,Russian,skewed,перекос
English,Russian,pride,гордость
English,Russian,exposure,воздействие
English,Russian,render,оказывать
English,Russian,cliquish,cliquish
English,Russian,laid out,выложил
English,Russian,subtler,тоньше
Russian,English,являться результатом,be the result
English,Russian,favor,пользу
English,Russian,pluck off,обрывать
English,Russian,narrow,узкая
English,Russian,spawn,икру
English,Russian,Forgetting,Забыв
English,Russian,entail,влечет за собой
English,Russian,misuse,злоупотребление
English,Russian,convince,убедить
English,Russian,engaged in,занимается
English,Russian,frivolous,легкомысленный
